postal_code,county,ZHVI
32218,Duval County,322887.0
7114,Essex County,449392.0
80524,Larimer County,600563.0
80524,Larimer County,600563.0
80524,Larimer County,600563.0
80524,Larimer County,600563.0
80524,Larimer County,600563.0
80524,Larimer County,600563.0
80524,Larimer County,600563.0
80524,Larimer County,600563.0
80524,Larimer County,600563.0
80524,Larimer County,600563.0
80524,Larimer County,600563.0
91406,Los Angeles County,829594.0
23185,Williamsburg City,420117.0
23185,Williamsburg City,420117.0
23185,Williamsburg City,420117.0
23185,Williamsburg City,420117.0
81301,La Plata County,734553.0
81301,La Plata County,734553.0
81301,La Plata County,734553.0
81301,La Plata County,734553.0
81301,La Plata County,734553.0
34112,Collier County,399770.0
73109,Oklahoma County,113568.0
73109,Oklahoma County,113568.0
21740,Washington County,257666.0
43206,Franklin County,273260.0
43206,Franklin County,273260.0
75686,Camp County,179395.0
64055,Jackson County,215262.0
10917,Orange County,532070.0
24551,Bedford County,398061.0
19426,Montgomery County,509151.0
19426,Montgomery County,509151.0
17325,Adams County,309729.0
17325,Adams County,309729.0
